source,country,city,url,name,rating,reviews,price,cuisine,address,phone,website,latitude,longitude
tripadvisor,morocco,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d13402279-Reviews-La_Table_de_La_Kasbah-Marrakech_Marrakech_Safi.html#REVIEWS,La Table de La Kasbah,Skip to main content,,,,,+212 525-221110,https://www.tripadvisorsupport.com/en-US/hc/owner/articles/397,,
tripadvisor,morocco,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d26584326-Reviews-Chouf_L_Or-Marrakech_Marrakech_Safi.html,Chouf L'Or,Skip to main content,,,,,+212 661-894490,https://www.tripadvisorsupport.com/en-US/hc/owner/articles/397,,
tripadvisor,morocco,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d3598920-Reviews-Niagara_Marrakech-Marrakech_Marrakech_Safi.html#REVIEWS,Niagara Marrakech,Skip to main content,,,,,+212 662-609684,https://www.tripadvisorsupport.com/en-US/hc/owner/articles/397,,
tripadvisor,morocco,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d27097954-Reviews-Noto_Marrakech-Marrakech_Marrakech_Safi.html,Noto Marrakech,Skip to main content,,,,,+212 663-454657,https://www.tripadvisorsupport.com/en-US/hc/owner/articles/397,,
tripadvisor,morocco,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d26584326-Reviews-Chouf_L_Or-Marrakech_Marrakech_Safi.html#REVIEWS,Chouf L'Or,Skip to main content,,,,,+212 661-894490,https://www.tripadvisorsupport.com/en-US/hc/owner/articles/397,,
tripadvisor,morocco,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d27525706-Reviews-Ritzi_Marrakech-Marrakech_Marrakech_Safi.html,Ritzi Marrakech,Skip to main content,,,,,+212 663-230484,https://www.tripadvisorsupport.com/en-US/hc/owner/articles/397,,
tripadvisor,morocco,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d24008107-Reviews-Rooftop_Garden-Marrakech_Marrakech_Safi.html#REVIEWS,Rooftop Garden,Skip to main content,,,,,+212 670-034422,https://www.tripadvisorsupport.com/en-US/hc/owner/articles/397,,
tripadvisor,morocco,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d20062114-Reviews-La_Terrasse_De_La_Brillante_Rooftop-Marrakech_Marrakech_Safi.html,La Terrasse De La Brillante - Rooftop,Skip to main content,,,,,+212 696-035951,https://www.tripadvisorsupport.com/en-US/hc/owner/articles/397,,
tripadvisor,morocco,Marrakech,https://www.tripadvisor.com/Restaurant_Review-g293734-d7278469-Reviews-Le_Makassar_Restaurant-Marrakech_Marrakech_Safi.html#REVIEWS,Le Makassar Restaurant,Skip to main content,,,,,+212 5243-91926,https://www.tripadvisorsupport.com/en-US/hc/owner/articles/397,,
