country,city,nombre_restaurants,note_moyenne,total_avis
MOROCCO,Taourirt,5,,0
MOROCCO,Tarfaya,7,,0
MOROCCO,Taroudant,49,,0
MOROCCO,Taza,78,,0
MOROCCO,Temara,16,,0
MOROCCO,Tetouan,23,,0
MOROCCO,Tinghir,53,,0
MOROCCO,Tiznit,24,,0
MOROCCO,Témara,88,,0
MOROCCO,Zagora,72,,0
MOROCCO,city,1,,0
QATAR,Abu Samra,5,,0
QATAR,Ain Khaled,53,,0
QATAR,Al Daayen,14,,0
QATAR,Al Gharrafa,60,,0
QATAR,Al Ghuwariyah,60,,0
QATAR,Al Kharaitiyat,60,,0
QATAR,Al Khor,14,,0
QATAR,Al Rayyan,20,,0
QATAR,Al Ruwais,1,,0
QATAR,Al Sadd,59,,0
QATAR,Al Shahaniya,59,,0
QATAR,Al Thumama,59,,0
QATAR,Al Wakrah,19,,0
QATAR,Al Wukair,2,,0
QATAR,Bin Mahmoud,56,,0
QATAR,Doha,44,,0
QATAR,Education City,59,,0
QATAR,Katara,17,,0
QATAR,Lusail,52,,0
QATAR,Madinat ash Shamal,57,,0
QATAR,Mesaieed,3,,0
QATAR,Msheireb Downtown,60,,0
QATAR,Muaither,2,,0
QATAR,Old Airport,59,,0
QATAR,Rawdat Al Hamama,12,,0
QATAR,The Pearl Qatar,59,,0
QATAR,Umm Salal,1,,0
QATAR,West Bay,60,,0
Qatar,Al Daayen,26,,0
Qatar,Al Khor,16,,0
Qatar,Al Rayyan,201,,0
Qatar,Al Shamal,1,,0
Qatar,Al Wakrah,53,,0
Qatar,Doha,618,4.62,0
Qatar,The Pearl Qatar,19,4.56,0
Qatar,Umm Salal,29,4.57,0
SAUDI ARABIA,Abha,17,,0
SAUDI ARABIA,Afif,1,,0
SAUDI ARABIA,Al Ahsa,21,,0
SAUDI ARABIA,Al Bahah,6,,0
SAUDI ARABIA,Al Bukayriyah,2,,0
SAUDI ARABIA,Al Dawadmi,2,,0
SAUDI ARABIA,Al Hofuf,16,,0
SAUDI ARABIA,Al Kharj,14,,0
SAUDI ARABIA,Al Lith,60,,0
SAUDI ARABIA,Al Majmaah,6,,0
SAUDI ARABIA,Al Mubarraz,60,,0
SAUDI ARABIA,Al Namas,1,,0
SAUDI ARABIA,Al Qatif,6,,0
SAUDI ARABIA,Al Qunfudhah,2,,0
SAUDI ARABIA,Al Quwayiyah,1,,0
SAUDI ARABIA,Al Rass,38,,0
SAUDI ARABIA,Al Ula,17,,0
SAUDI ARABIA,Al Wajh,1,,0
SAUDI ARABIA,Arar,3,,0
SAUDI ARABIA,Badr Hunayn,14,,0
SAUDI ARABIA,Bisha,17,,0
SAUDI ARABIA,Buraydah,45,,0
SAUDI ARABIA,Dammam,29,,0
SAUDI ARABIA,Dhahran,26,,0
SAUDI ARABIA,Diriyah,18,,0
SAUDI ARABIA,Hail,44,,0
SAUDI ARABIA,Haql,2,,0
SAUDI ARABIA,Hotat Bani Tamim,49,,0
SAUDI ARABIA,Jazan,14,,0
SAUDI ARABIA,Jeddah,40,,0
SAUDI ARABIA,Jubail,26,,0
SAUDI ARABIA,Khafji,5,,0
SAUDI ARABIA,Khamis Mushait,13,,0
SAUDI ARABIA,Khobar,35,,0
SAUDI ARABIA,Mecca,31,,0
SAUDI ARABIA,Medina,60,,0
SAUDI ARABIA,Muhayil,2,,0
SAUDI ARABIA,Najran,2,,0
SAUDI ARABIA,Qurayyat,5,,0
SAUDI ARABIA,Rabigh,6,,0
SAUDI ARABIA,Ras Tanura,54,,0
SAUDI ARABIA,Riyadh,47,,0
SAUDI ARABIA,Rumah,57,,0
SAUDI ARABIA,Sabya,3,,0
SAUDI ARABIA,Safwa,4,,0
SAUDI ARABIA,Saihat,5,,0
SAUDI ARABIA,Sakaka,7,,0
SAUDI ARABIA,Sharurah,1,,0
SAUDI ARABIA,Tabuk,1,,0
SAUDI ARABIA,Taif,18,,0
SAUDI ARABIA,Tarout,4,,0
SAUDI ARABIA,Turaif,1,,0
SAUDI ARABIA,Unaizah,5,,0
SAUDI ARABIA,Wadi ad-Dawasir,60,,0
SAUDI ARABIA,Yanbu,19,,0
Saudi Arabia,Abha,6,,0
Saudi Arabia,Al Ahsa,501,,0
Saudi Arabia,Arar,7,,0
Saudi Arabia,Hail,30,,0
Saudi Arabia,Jazan,73,,0
Saudi Arabia,Mecca,154,,0
Saudi Arabia,Medina,292,,0
Saudi Arabia,Najran,49,,0
Saudi Arabia,Riyadh,760,,0
Saudi Arabia,Sakaka,37,,0
Saudi Arabia,Tabuk,38,,0
Saudi Arabia,Yanbu,111,,0
UAE,(1,59,,80055
UAE,(2,17,,43134
UAE,(3,5,,17631
UAE,(4,1,,4580
UAE,(5,2,,10380
UAE,006 reviews)Dubai,1,,2006
UAE,007 reviews)New York City,1,,1007
UAE,014 reviews)Dubai,1,,3014
UAE,017 reviews)Dubai,1,,2017
UAE,018 reviews)Dhaka City,1,,1018
UAE,025 reviews)Taormina,1,,2025
UAE,026 reviews)Hvar,1,,1026
UAE,030 reviews)New York City,1,,4030
UAE,043 reviews)Mexico City,1,,3043
UAE,059 reviews)Dubai,1,,1059
UAE,072 reviews)Chicago,1,,5072
UAE,076 reviews)Dubai,1,,1076
UAE,096 reviews)Dubai,1,,1096
UAE,1.81.8 of 5 bubbles(8 reviews)Dubai,1,,8
UAE,101 reviews)Lima,1,,1101
UAE,108 reviews)West End,1,,1108
UAE,111 reviews)Naples,1,,1111
UAE,113 reviews)Seminyak,1,,6113
UAE,147 reviews)Dubai,1,,1147
UAE,160 reviews)Dubai,1,,4160
UAE,170 reviews)Amman,1,,4170
UAE,191 reviews)Ho Chi Minh City,1,,1191
UAE,192 reviews)Jakarta,1,,1192
UAE,2.72.7 of 5 bubbles(28 reviews)Muscat,1,,28
UAE,2.72.7 of 5 bubbles(3 reviews)Dubai,1,,3
UAE,2.92.9 of 5 bubbles(170 reviews)Denver,1,,170
UAE,2.92.9 of 5 bubbles(21 reviews)Dubai,1,,21
UAE,204 reviews)Dubai,1,,1204
UAE,204 reviews)New York City,1,,2204
UAE,214 reviews)Dubai,1,,1214
UAE,231 reviews)Mumbai,1,,2231
UAE,235 reviews)Quezon City,1,,2235
UAE,236 reviews)Dubai,1,,1236
UAE,246 reviews)San Diego,1,,1246
UAE,248 reviews)Dubai,1,,2248
UAE,249 reviews)Ocean City,1,,2249
UAE,256 reviews)Dubai,1,,2256
UAE,268 reviews)Dubai,1,,2268
UAE,283 reviews)Palm - Eagle Beach,1,,10283
UAE,284 reviews)Isle of Palms,1,,4284
UAE,293 reviews)Bar Harbor,1,,3293
UAE,294 reviews)Palm - Eagle Beach,1,,8294
UAE,298 reviews)Ras Al Khaimah,1,,1298
UAE,3.03 of 5 bubbles(2 reviews)Dubai,2,,4
UAE,3.03 of 5 bubbles(4 reviews)Amman,1,,4
UAE,3.33.3 of 5 bubbles(12 reviews)Dubai,1,,12
UAE,3.33.3 of 5 bubbles(14 reviews)Dubai,1,,14
UAE,3.43.4 of 5 bubbles(105 reviews)Dubai,2,,210
UAE,3.43.4 of 5 bubbles(128 reviews)Dubai,1,,128
UAE,3.53.5 of 5 bubbles(23 reviews)Dubai,1,,23
UAE,3.53.5 of 5 bubbles(24 reviews)Dubai,1,,24
UAE,3.53.5 of 5 bubbles(81 reviews)Medford,1,,81
UAE,3.53.5 of 5 bubbles(86 reviews)Saint Louis,1,,86
UAE,3.63.6 of 5 bubbles(20 reviews)Dubai,1,,20
UAE,3.63.6 of 5 bubbles(22 reviews)Kuwait City,1,,22
UAE,3.63.6 of 5 bubbles(299 reviews)Grenada,1,,299
UAE,3.63.6 of 5 bubbles(308 reviews)Birch Bay,1,,308
UAE,3.63.6 of 5 bubbles(323 reviews)Patchogue,1,,323
UAE,3.63.6 of 5 bubbles(401 reviews)Dubai,1,,401
UAE,3.63.6 of 5 bubbles(50 reviews)Dubai,1,,50
UAE,3.63.6 of 5 bubbles(61 reviews)Austin,1,,61
UAE,3.73.7 of 5 bubbles(105 reviews)Dubai,2,,210
UAE,3.73.7 of 5 bubbles(186 reviews)Tulalip,1,,186
UAE,3.73.7 of 5 bubbles(574 reviews)Kuala Lumpur,1,,574
UAE,3.73.7 of 5 bubbles(73 reviews)Muscat,1,,73
UAE,3.83.8 of 5 bubbles(11 reviews)Dubai,1,,11
UAE,3.83.8 of 5 bubbles(13 reviews)Dubai,1,,13
UAE,3.83.8 of 5 bubbles(154 reviews)Dubai,1,,154
UAE,3.83.8 of 5 bubbles(17 reviews)Abu Dhabi,1,,17
UAE,3.83.8 of 5 bubbles(226 reviews)Hong Kong,1,,226
UAE,3.83.8 of 5 bubbles(31 reviews)Abu Dhabi,1,,31
UAE,3.83.8 of 5 bubbles(408 reviews)Tampa,1,,408
UAE,3.83.8 of 5 bubbles(6 reviews)Dubai,1,,6
UAE,3.83.8 of 5 bubbles(90 reviews)Dubai,2,,180
UAE,3.93.9 of 5 bubbles(118 reviews)Dubai,1,,118
UAE,3.93.9 of 5 bubbles(135 reviews)Dubai,1,,135
UAE,3.93.9 of 5 bubbles(208 reviews)Dubai,1,,208
UAE,3.93.9 of 5 bubbles(30 reviews)Dubai,1,,30
UAE,3.93.9 of 5 bubbles(43 reviews)Dubai,1,,43
UAE,3.93.9 of 5 bubbles(48 reviews)Dubai,1,,48
UAE,3.93.9 of 5 bubbles(53 reviews)Dubai,1,,53
UAE,3.93.9 of 5 bubbles(77 reviews)Dubai,1,,77
UAE,3.93.9 of 5 bubbles(84 reviews)Dubai,1,,84
UAE,305 reviews)Auckland Central,1,,2305
UAE,318 reviews)Dubai,1,,2318
UAE,329 reviews)Chicago,1,,6329
UAE,343 reviews)Taormina,1,,1343
UAE,351 reviews)Dubai,1,,1351
UAE,365 reviews)Cairo,1,,3365
UAE,365 reviews)Ella,1,,17365
UAE,385 reviews)Kapaa,1,,1385
UAE,390 reviews)Queenstown,1,,15390
UAE,391 reviews)Dubai,3,,4173
UAE,396 reviews)Jeddah,1,,2396
UAE,398 reviews)Dubai,1,,2398
UAE,4.04 of 5 bubbles(104 reviews)Dubai,2,,208
UAE,4.04 of 5 bubbles(136 reviews)Dubai,1,,136
UAE,4.04 of 5 bubbles(14 reviews)Dubai,1,,14
UAE,4.04 of 5 bubbles(18 reviews)Dubai,1,,18
UAE,4.04 of 5 bubbles(180 reviews)Dubai,1,,180
UAE,4.04 of 5 bubbles(2 reviews)Dubai,1,,2
UAE,4.04 of 5 bubbles(263 reviews)Dubai,2,,526
UAE,4.04 of 5 bubbles(274 reviews)Dubai,1,,274
UAE,4.04 of 5 bubbles(28 reviews)Dubai,1,,28
