name,country,city,address,latitude,longitude,phone,website,rating,reviews_count,price_range,source
Dalaona Restaurant,Bahrain,Muharraq,,26.2635734,50.6165951,,,,0,,openstreetmap
Al Meeraj Plaza,Bahrain,Muharraq,Sheikh Khalifa Bin Salman,26.2621138,50.6146468,,,,0,,openstreetmap
Burger Land,Bahrain,Muharraq,,26.2613754,50.6116121,,,,0,,openstreetmap
Kudu,Bahrain,Muharraq,,26.2613462,50.6113529,,,,0,,openstreetmap
Rio Grills and Brosted,Bahrain,Muharraq,Jamaldin Al Afghani Avenue,26.257801,50.6167543,,,,0,,openstreetmap
Seena Juice,Bahrain,Muharraq,Al Khalifa Avenue,26.2612335,50.6152913,,,,0,,openstreetmap
Al Amana,Bahrain,Muharraq,Sheik Mohammed Bin Salman Avenue,26.2608616,50.6124806,,,,0,,openstreetmap
Al Tawabel,Bahrain,Muharraq,Shaikh Isa Avenue,26.2614933,50.6147752,,,,0,,openstreetmap
Dodo Sandwich,Bahrain,Muharraq,,26.2547756,50.6186245,,,,0,,openstreetmap
Oregano Cafe,Bahrain,Muharraq,Shaik Duaij Bin Hamad Avenue,26.2607101,50.612029,,,,0,,openstreetmap
Shatoora Brosted and Pizza,Bahrain,Muharraq,Sheik Mohammed Bin Salman Avenue,26.2610287,50.613342,,,,0,,openstreetmap
Top 'N' Best Restaurant,Bahrain,Muharraq,Sheik Mohammed Bin Salman Avenue,26.2610827,50.6137306,,,,0,,openstreetmap
Ghada Cafeteria,Bahrain,Muharraq,,26.2616792,50.6113469,,,,0,,openstreetmap
Al Hadrah Fishe Restaurant,Bahrain,Muharraq,,26.2484085,50.6167854,,,,0,,openstreetmap
GJM Cafeteria,Bahrain,Muharraq,Shaikh Abdulla Bin Hamad Avenue,26.2544218,50.6152097,,,,0,,openstreetmap
Franky Joe's Hot Dogs & Spuds,Bahrain,Muharraq,SHOP 3,26.2777451,50.6622668,,https://www.frankyjoes.com/,,0,,openstreetmap
Light House Cafe,Bahrain,Muharraq,,26.2789024,50.6651845,,,,0,,openstreetmap
Corners,Bahrain,Muharraq,,26.2866669,50.6714611,,,,0,,openstreetmap
AL Redha Palace Grill,Bahrain,Muharraq,Abdul Rahman Al Fadhel Avenue,26.2525895,50.619228,,,,0,,openstreetmap
Derby Cafe,Bahrain,Muharraq,,26.2495302,50.6205264,,,,0,,openstreetmap
Al Awam Cafeteria,Bahrain,Muharraq,Shaikh Isa Avenue,26.252766,50.6140573,,,,0,,openstreetmap
Food City,Bahrain,Muharraq,,26.2510095,50.6084045,,,,0,,openstreetmap
Bu Khalaf Coffee,Bahrain,Muharraq,916,26.254273,50.6122096,,,,0,,openstreetmap
House Of Coffee,Bahrain,Muharraq,,26.2540335,50.6111135,,,,0,,openstreetmap
Al Mansas Cafeteria,Bahrain,Muharraq,711,26.2560023,50.6060872,,,,0,,openstreetmap
Mazdoot Cafeteria,Bahrain,Muharraq,,26.2586435,50.6051991,,,,0,,openstreetmap
